mode,l,m,n,theory,operator,derivative_order,parity,branch,k,coefficient_re,coefficient_im,maximum_fit_order,source_file,source_commit,source_repository,source_paper,license
220,2,2,0,quartic_2,epsilon2,8,preserving,plus,9,-0.54342,0.31616,14,quartic_2_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,plus,10,-1.2408,-0.53118,14,quartic_2_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,plus,11,-0.98395,0.088924,14,quartic_2_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,plus,12,-1.5462,0.0,14,quartic_2_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,plus,13,-3.3518,0.0,14,quartic_2_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,plus,14,-2.1686,0.0,14,quartic_2_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,minus,0,-0.19901,-0.35232,11,quartic_2_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,minus,1,-0.52901,-0.84072,11,quartic_2_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,minus,2,-1.9052,-0.83892,11,quartic_2_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,quartic_2,epsilon2,8,preserving,minus,3,-2.3237,2.0045,11,quartic_2_minus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
